Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
ETR-6 MV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006350,Fire and gas detection,1-01-42-XFAS-ETR06-01,60-85-FF58-ETR6-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_FDET,1-01-42-XFAS-ETR06-01,,GB
ETR-6 BATTERY ROOM FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006351,Fire and gas detection,1-01-42-XFAS-ETR06-04,60-85-FF58-ETR6-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_FDET,1-01-42-XFAS-ETR06-04,,GB
ETR-7 FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006352,Fire and gas detection,1-01-42-XFAS-ETR07-02,60-86-FF58-ETR7-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007939.0,PM_FDET,1-01-42-XFAS-ETR07-02,,GB
ETR-8 MV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006353,Fire and gas detection,1-01-42-XFAS-ETR08-01,60-87-FF58-ETR8-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_FDET,1-01-42-XFAS-ETR08-01,,GB
ETR-8 LV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006354,Fire and gas detection,1-01-42-XFAS-ETR08-03,60-87-FF58-ETR8-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_FDET,1-01-42-XFAS-ETR08-03,,GB
TELECOM CABINET A IN CAPACITOR BUILDING,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006373,Emergency Power,1-01-42-TLC-8200-05,60-00-TF82-CAP-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011002959.0,PM_TCOM,1-01-42-TLC-8200-05,L800XD800XH2000 MM,DE
TELECOM CABINET-1 AT ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006374,Main Power,1-01-42-TLC-8281-01,60-81-TF82-ETR1-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011001525.0,PM_TCOM,1-01-42-TLC-8281-01,L800XD800XH2000 MM,DE
TELECOM CABINET-2 AT ETR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006375,Main Power,1-01-42-TLC-8282-02,60-82-TF82-ETR2-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011006102.0,PM_TCOM,1-01-42-TLC-8282-02,L800XD800XH2000 MM,DE
TELECOM CABINET-2 AT ETR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006376,Main Power,1-01-42-TLC-8282-12,60-82-TF82-ETR3-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011000381.0,PM_TCOM,1-01-42-TLC-8282-12,L800XD800XH2000 MM,DE
ETR-4 TELECOM CABINET-A,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006377,Telecommunications,1-01-42-TLC-8283-01,60-83-TF82-ETR4-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011008847.0,PM_TCOM,1-01-42-TLC-8283-01,D800XW800XH2000 MM,DE
ETR-5 TELECOM CABINET-A,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006378,Telecommunications,1-01-42-TLC-8284-01,60-84-TF82-ETR5-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011006003.0,PM_TCOM,1-01-42-TLC-8284-01,D800XW800XH2000 MM,DE
ETR-6 TELECOM CABINET-B,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006379,Telecommunications,1-01-42-TLC-8285-02,60-85-TF82-ETR6-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011003001.0,PM_TCOM,1-01-42-TLC-8285-02,D800XW800XH2000 MM,DE
TELECOM CABINET-2 AT ETR-7,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006380,Main Power,1-01-42-DB-4486-02,A-AP-6086-PF42-ETR07,,RITTAL,TS SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011003054.0,PM_TCOM,1-01-42-TLC-8286-02,D400XW600XH492 MM,DE
ETR-8 TELECOM CABINET-A,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006381,Telecommunications,1-01-42-TLC-8287-01,60-87-TF82-ETR8-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011001501.0,PM_TCOM,1-01-42-TLC-8287-01,D800XW800XH2000 MM,DE
ETR-9 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006393,Fire and gas detection,1-01-42-XGAB-ETR09-02,60-82-FF58-ETR9-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_EVEQ,1-01-42-XGAB-ETR09-02,,GB
ETR-9 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006394,Fire and gas detection,1-01-42-XGAB-ETR09-04,60-82-FF58-ETR9-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_EVEQ,1-01-42-XGAB-ETR09-04,,GB
ETR-7 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006400,Fire and gas detection,1-01-42-XGAB-ETR07-03,60-86-FF58-ETR7-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007939.0,PM_EVEQ,1-01-42-XGAB-ETR07-03,,GB
ETR-8 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006401,Fire and gas detection,1-01-42-XGAB-ETR08-02,60-87-FF58-ETR8-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_EVEQ,1-01-42-XGAB-ETR08-02,,GB
ETR-8 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006402,Fire and gas detection,1-01-42-XGAB-ETR08-04,60-87-FF58-ETR8-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_EVEQ,1-01-42-XGAB-ETR08-04,,GB
ETR-1 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006403,Fire and gas detection,1-01-42-XGD-ETR01-02,60-81-FF58-ETR1-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011008091.0,PM_GDET,1-01-42-XGD-ETR01-02,D96XW155XH280 MM,
ETR-8 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006409,Fire and gas detection,1-01-42-XGD-ETR08-02,60-87-FF58-ETR8-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011007943.0,PM_GDET,1-01-42-XGD-ETR08-02,D96XW155XH280 MM,
ETR-2 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006412,Fire and gas detection,1-01-42-XHD-ETR02-02,60-82-FF58-ETR2-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002024.0,PM_FDET,1-01-42-XHD-ETR02-02,D100XH50 MM,
ETR-3 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006413,Fire and gas detection,1-01-42-XHD-ETR03-01,60-82-FF58-ETR3-FACP,,APOLLO,58000-400-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008097.0,PM_FDET,1-01-42-XHD-ETR03-01,D100XH50 MM,
ETR-5 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006416,Fire and gas detection,1-01-42-XHD-ETR05-02,60-84-FF58-ETR5-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011009510.0,PM_FDET,1-01-42-XHD-ETR05-02,D100XH50 MM,
ETR-6 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006417,Fire and gas detection,1-01-42-XHD-ETR06-02,60-85-FF58-ETR6-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011003968.0,PM_FDET,1-01-42-XHD-ETR06-02,D100XH50 MM,
ETR-7 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006418,Fire and gas detection,1-01-42-XHD-ETR07-01,60-86-FF58-ETR7-FACP,,APOLLO,58000-400-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011001985.0,PM_FDET,1-01-42-XHD-ETR07-01,D100XH50 MM,
ETR-8 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006419,Fire and gas detection,1-01-42-XHD-ETR08-01,60-87-FF58-ETR8-FACP,,APOLLO,58000-400-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011003971.0,PM_FDET,1-01-42-XHD-ETR08-01,D100XH50 MM,
ETR-9 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006421,Fire and gas detection,1-01-42-XHD-ETR09-02,60-82-FF58-ETR9-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011000993.0,PM_FDET,1-01-42-XHD-ETR09-02,D100XH50 MM,
ETR-1 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006422,Fire and gas detection,1-01-42-XHGD-ETR01-01,60-81-FF58-ETR1-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008091.0,PM_FDET,1-01-42-XHGD-ETR01-01,D96XW155XH280 MM,
ETR-4 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006423,Fire and gas detection,1-01-42-XHGD-ETR04-01,60-83-FF58-ETR4-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008100.0,PM_FDET,1-01-42-XHGD-ETR04-01,D96XW155XH280 MM,
ETR-6 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006424,Fire and gas detection,1-01-42-XHGD-ETR06-01,60-85-FF58-ETR6-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011007937.0,PM_FDET,1-01-42-XHGD-ETR06-01,D96XW155XH280 MM,
ETR-8 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006425,Fire and gas detection,1-01-42-XHGD-ETR08-01,60-87-FF58-ETR8-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011007943.0,PM_FDET,1-01-42-XHGD-ETR08-01,D96XW155XH280 MM,
ETR-9 BATTERY ROOM FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006527,Fire and gas detection,1-01-42-XFAS-ETR09-04,60-82-FF58-ETR9-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_FDET,1-01-42-XFAS-ETR09-04,,GB
ETR-1 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006559,Fire and gas detection,1-01-42-XGAB-ETR01-03,60-81-FF58-ETR1-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_EVEQ,1-01-42-XGAB-ETR01-03,,GB
ETR-2 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006560,Fire and gas detection,1-01-42-XGAB-ETR02-01,60-82-FF58-ETR2-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008093.0,PM_EVEQ,1-01-42-XGAB-ETR02-01,,GB
ETR-2 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006561,Fire and gas detection,1-01-42-XGAB-ETR02-04,60-82-FF58-ETR2-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008093.0,PM_EVEQ,1-01-42-XGAB-ETR02-04,,GB
ETR-3 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006562,Fire and gas detection,1-01-42-XGAB-ETR03-02,60-82-FF58-ETR3-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008096.0,PM_EVEQ,1-01-42-XGAB-ETR03-02,,GB
ETR-4 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006563,Fire and gas detection,1-01-42-XGAB-ETR04-01,60-83-FF58-ETR4-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_EVEQ,1-01-42-XGAB-ETR04-01,,GB
ETR-4 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006564,Fire and gas detection,1-01-42-XGAB-ETR04-03,60-83-FF58-ETR4-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_EVEQ,1-01-42-XGAB-ETR04-03,,GB
ETR-5 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006565,Fire and gas detection,1-01-42-XGAB-ETR05-01,60-84-FF58-ETR5-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_EVEQ,1-01-42-XGAB-ETR05-01,,GB
ETR-5 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006566,Fire and gas detection,1-01-42-XGAB-ETR05-03,60-84-FF58-ETR5-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_EVEQ,1-01-42-XGAB-ETR05-03,,GB
ETR-6 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006567,Fire and gas detection,1-01-42-XGAB-ETR06-02,60-85-FF58-ETR6-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_EVEQ,1-01-42-XGAB-ETR06-02,,GB
ETR-6 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006568,Fire and gas detection,1-01-42-XGAB-ETR06-04,60-85-FF58-ETR6-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001984.0,PM_EVEQ,1-01-42-XGAB-ETR06-04,,GB
ETR-1 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006625,Fire and gas detection,1-01-42-XTGD-ETR01-02,60-81-FF58-ETR1-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011008091.0,PM_GDET,1-01-42-XTGD-ETR01-02,D96XW155XH280 MM,
ETR-8 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006631,Fire and gas detection,1-01-42-XTGD-ETR08-02,60-87-FF58-ETR8-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011007943.0,PM_GDET,1-01-42-XTGD-ETR08-02,D96XW155XH280 MM,
WELL HB03 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006783,Fire and gas detection,1-01-81-XFAB-H03P-01,60-71-HB-003P-WFG,214287525-31-04,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007948.0,PM_EVEQ,1-01-81-XFAB-H03P-01,L150XW170XH239 MM,GB
WELL HB28 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006784,Fire and gas detection,1-01-81-XFAB-H28H-01,60-71-HB-028H-WFG,214287525-31-06,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000498.0,PM_EVEQ,1-01-81-XFAB-H28H-01,L150XW170XH239 MM,GB
ITR-1 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006785,Fire and gas detection,1-01-81-XFAB-ITR01-02,60-81-FF58-ITR1-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004061.0,PM_EVEQ,1-01-81-XFAB-ITR01-02,,GB
WELL HB03 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006786,Fire and gas detection,1-01-81-XFAS-H03P-01,60-71-HB-003P-WFG,214287525-63-05,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007948.0,PM_FDET,1-01-81-XFAS-H03P-01,L185XW280XH200 MM,GB
WELL HB31 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006787,Fire and gas detection,1-01-81-XFAS-H31P-01,60-71-HB-031P-WFG,214287525-63-08,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004053.0,PM_FDET,1-01-81-XFAS-H31P-01,L185XW280XH200 MM,GB
WELL HB20 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006793,Fire and gas detection,1-01-81-XGAB-H20H-01,60-71-HB-020H-WFG,,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007966.0,PM_EVEQ,1-01-81-XGAB-H20H-01,L150XW170XH239 MM,GB
WELL HB31 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011006794,Fire and gas detection,1-01-81-XGAB-H31P-01,60-71-HB-031P-WFG,,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004053.0,PM_EVEQ,1-01-81-XGAB-H31P-01,L150XW170XH239 MM,GB
